conf,9,10,batterycost
0 | 0 | 6,25904.16,27527.5,10800
0 | 2 | 5,25708.5,27256.7,11700
0 | 4 | 4,25796.25,27270.2,12600
0 | 6 | 3,26001.54,27289.6,13500
0 | 8 | 2,26081.55,27495.0,14400
0 | 10 | 1,26490.78,27692.8,15300
0 | 12 | 0,26899.47,28119.2,16200
2 | 1 | 5,25797.69,27317.6,12150
2 | 3 | 4,25930.26,27277.5,13050
2 | 5 | 3,26034.3,27273.5,13950
2 | 7 | 2,26164.62,27460.3,14850
2 | 9 | 1,26539.83,27783.5,15750
2 | 11 | 0,26990.19,28115.5,16650
4 | 0 | 5,25783.02,27331.2,12600
4 | 2 | 4,25863.66,27214.3,13500
4 | 4 | 3,26018.28,27308.6,14400
4 | 6 | 2,26189.46,27382.2,15300
4 | 8 | 1,26728.92,27925.1,16200
4 | 10 | 0,27204.84,28197.7,17100
6 | 1 | 4,25895.88,27342.2,13950
6 | 3 | 3,26049.24,27338.7,14850
6 | 5 | 2,26408.34,27588.0,15750
6 | 7 | 1,26807.4,27885.7,16650
6 | 9 | 0,27412.47,28407.6,17550
8 | 0 | 4,25970.94,27306.4,14400
8 | 2 | 3,26141.67,27388.0,15300
8 | 4 | 2,26549.01,27670.2,16200
8 | 6 | 1,26930.34,28079.7,17100
8 | 8 | 0,27481.23,28529.4,18000
10 | 1 | 3,26173.71,27437.6,15750
10 | 3 | 2,26633.34,27722.4,16650
10 | 5 | 1,27146.79,28137.0,17550
10 | 7 | 0,27679.77,28688.1,18450
12 | 0 | 3,26379.81,27461.1,16200
12 | 2 | 2,26753.49,27736.9,17100
12 | 4 | 1,27258.84,28263.2,18000
12 | 6 | 0,27824.04,28895.7,18900
14 | 1 | 2,26908.11,27983.1,17550
14 | 3 | 1,27441.63,28533.5,18450
14 | 5 | 0,28157.94,29101.1,19350
16 | 0 | 2,27019.26,28135.6,18000
16 | 2 | 1,27666.9,28713.8,18900
16 | 4 | 0,28270.08,29261.9,19800
18 | 1 | 1,27929.16,28845.4,19350
18 | 3 | 0,28514.7,29488.9,20250
20 | 0 | 1,28152.36,29061.3,19800
20 | 2 | 0,28815.03,29757.4,20700
22 | 1 | 0,29157.03,29933.5,21150
24 | 0 | 0,29366.37,30294.3,21600
