medianCap,meanCap,maxiCap,miniCap,devCap,mediancost,meancost,maxicost,minicost,devcost,solutions
412.8938311,414.4284772,586.2898425,258.9538027,51.75785582,4810,4805.7512,5344,4306,149.5676559,0
478.9225785,477.2863289,643.8372573,0,54.52006991,4928,4931.8196,5450,4446,151.5956789,1
447.5824966,452.6939781,618.1589704,269.979347,52.17052495,4949,4948.4068,5405,4435,140.6246042,0
452.668761,453.0689515,610.5884141,105.1420741,51.18448414,4788,4788.8332,5262,4334,153.7677501,0
836.5017748,837.0071629,1012.906367,264.9050958,57.06837797,4696,4697.7876,5194,4208,139.9316107,0
430.7718043,434.0140025,587.7531834,0,50.48557871,4878,4874.756,5386,4360,167.4885992,1
347.2812504,348.1483047,534.6686738,17.66647665,51.09892674,4862,4851.4186,5312,4342,157.5023961,0
232.781774,235.4341623,422.5899952,0,56.01408107,4887,4888.7612,5401,4395,169.6451136,2
444.1510847,444.4229702,627.4983038,2.015372602,49.59509776,4891,4893.71,5307,4457,144.6311388,0
517.8643909,520.608095,679.8421928,382.9263762,47.4415587,4868,4878.831,5344,4292,169.0277783,0
373.1293955,373.3530915,588.3303269,213.0400073,56.05582076,4806,4817.3584,5370,4316,156.1507181,0
435.9844978,434.2544665,598.3257182,171.1467886,60.43502185,4901,4896.848,5387,4399,161.6363279,0
628.7950574,626.8135682,794.0406602,80.70506555,53.29174839,4936,4942.8294,5510,4466,168.7492213,0
479.3580597,483.0906322,678.576511,37.07256392,56.29203864,4866,4867.3226,5306,4432,155.6377021,0
437.1706747,436.9478368,583.2402815,227.9827401,53.17164707,4985,4985.4482,5501,4497,138.2275874,0
533.26998,533.903627,690.3826425,376.8847856,47.98094158,4805,4806.2662,5201,4259,140.9672116,0
638.1499652,636.4298299,800.1235108,466.3857988,51.16932219,4796,4790.7652,5254,4328,153.7539413,0
475.5182392,471.7914721,636.8359251,165.7485213,50.72796957,4980,4990.9356,5604,4548,157.6552817,0
379.0192805,379.2954098,532.9464725,246.8400401,44.18760137,4837,4833.632,5291,4325,163.744129,0
381.7586696,379.9691964,512.4329166,0,46.38090924,4882,4882.0852,5360,4286,161.0811943,1
576.4128547,577.0623323,724.2667489,406.9124458,49.58709804,4846,4840.9832,5498,4290,191.6807276,0
557.938161,558.5022091,702.635587,409.7469535,48.6675765,4987,4989.8092,5421,4543,150.1464525,0
358.5671237,358.9393139,486.9737389,225.3380155,43.06283312,4839,4842.0906,5347,4343,134.1044928,0
687.4644278,690.2515206,892.8930901,497.6338036,60.81086588,4865,4855.85,5265,4361,142.5491743,0
113.8740794,117.0846895,260.1249661,7.054751983,43.95980399,4847,4848.881,5277,4253,148.9039873,0
221.7705896,218.6129723,360.855467,0,44.96912442,4864,4866.8818,5356,4360,148.4854001,1
995.3811487,990.2102624,1136.866552,141.3702214,65.22793307,5026,5032.9454,5672,4552,172.3564035,0
