conf,9,10,11,batterycost
0 | 0 | 5,25309.44,27362.8,28970.39,9000
0 | 2 | 4,25119.45,26893.9,28625.52,9900
0 | 4 | 3,24993.99,26713.7,28398.57,10800
0 | 6 | 2,25000.92,26497.5,27938.75,11700
0 | 8 | 1,25098.39,26428.2,27796.28,12600
0 | 10 | 0,25180.74,26540.4,27791.2,13500
2 | 1 | 4,25318.08,26827.2,28409.36,10350
2 | 3 | 3,25155.18,26615.7,28117.51,11250
2 | 5 | 2,25064.82,26440.5,27826.21,12150
2 | 7 | 1,25103.34,26345.1,27703.32,13050
2 | 9 | 0,25414.2,26480.7,27890.3,13950
4 | 0 | 4,25322.31,26848.5,28518.03,10800
4 | 2 | 3,25093.62,26677.6,28040.94,11700
4 | 4 | 2,25029.99,26402.5,27895.17,12600
4 | 6 | 1,25092.99,26515.8,27657.55,13500
4 | 8 | 0,25433.28,26592,27875,14400
6 | 1 | 3,25080.48,26741.8,27921.58,12150
6 | 3 | 2,25152.39,26468.2,27806.61,13050
6 | 5 | 1,25198.38,26505.3,27650.06,13950
6 | 7 | 0,25489.08,26667.4,27918,14850
8 | 0 | 3,25184.25,26575.9,28070.29,12600
8 | 2 | 2,25159.14,26529.5,27786.25,13500
8 | 4 | 1,25321.41,26511,27611.44,14400
8 | 6 | 0,25689.33,26752.4,27911.61,15300
10 | 1 | 2,25238.88,26565.4,27708.36,13950
10 | 3 | 1,25450.92,26490.1,27784.02,14850
10 | 5 | 0,25773.84,26814.8,27974.74,15750
12 | 0 | 2,25209.09,26558.1,27709.23,14400
12 | 2 | 1,25411.77,26577.3,27846.82,15300
12 | 4 | 0,25964.73,26980.2,28039.63,16200
14 | 1 | 1,25541.73,26693.7,27700.62,15750
14 | 3 | 0,25983.99,27041.6,28114.09,16650
16 | 0 | 1,25667.64,26662.4,27784.32,16200
16 | 2 | 0,26120.07,27195.6,28158.85,17100
18 | 1 | 0,26373.42,27314.7,28278.52,17550
20 | 0 | 0,26558.28,27575.8,28402.15,18000
