conf,9,10,11,batterycost
0 | 0 | 5,25028.55,26810.0,28801.65,9000
0 | 2 | 4,24972.12,26584.0,28361.63,9900
0 | 4 | 3,25031.43,26491.3,28106.63,10800
0 | 6 | 2,24824.7,26307.5,27892.77,11700
0 | 8 | 1,25053.84,26415.5,27732.7,12600
0 | 10 | 0,25135.02,26500.4,27804.95,13500
2 | 1 | 4,25072.92,26787.2,28543.12,10350
2 | 3 | 3,24991.11,26593.4,28098.48,11250
2 | 5 | 2,25034.67,26411.2,28020.58,12150
2 | 7 | 1,25082.64,26424.8,27863.7,13050
2 | 9 | 0,25260.21,26637.8,27877.87,13950
4 | 0 | 4,25167.42,26824.2,28560.38,10800
4 | 2 | 3,25136.37,26603.6,28094.29,11700
4 | 4 | 2,25054.38,26399.6,27824.66,12600
4 | 6 | 1,25234.29,26502.2,27916.38,13500
4 | 8 | 0,25384.95,26594.7,27774.57,14400
6 | 1 | 3,25186.59,26684.5,28098.57,12150
6 | 3 | 2,25167.06,26501.6,28007.91,13050
6 | 5 | 1,25337.25,26595.7,27857.63,13950
6 | 7 | 0,25490.61,26805.9,27969.59,14850
8 | 0 | 3,25323.57,26713.4,28125.18,12600
8 | 2 | 2,25355.43,26679.7,27978.53,13500
8 | 4 | 1,25379.91,26554.8,27907.34,14400
8 | 6 | 0,25549.65,26789.2,28074.3,15300
10 | 1 | 2,25373.61,26664.1,27898.33,13950
10 | 3 | 1,25590.69,26656.2,27953.75,14850
10 | 5 | 0,25892.37,26892.6,28016.21,15750
12 | 0 | 2,25469.28,26689.1,28024.27,14400
12 | 2 | 1,25664.76,26727.4,27941.97,15300
12 | 4 | 0,25959.42,27093.9,28181.64,16200
14 | 1 | 1,25859.25,26905.4,28080.89,15750
14 | 3 | 0,26126.01,27191.9,28225.74,16650
16 | 0 | 1,25837.29,26977.9,28091.55,16200
16 | 2 | 0,26247.06,27371.7,28360.59,17100
18 | 1 | 0,26462.7,27559.9,28407.99,17550
20 | 0 | 0,26680.23,27664.2,28615.55,18000
