Cost,Reset,Iterations,Solved,TimeInHC,Dev,Batterycap
2514.31,169.22,7942.08,68,1.63510001183,5,1513.5
2436.75,171.16,8629.17,99,1.67721998453,15,1513.5
2468.66,165.9,10126.42,100,1.89036000252,30,1513.5
2527.36,159.02,10836.61,100,1.9711199975,45,1513.5
2580.84,162.21,7794.17,63,1.60054999352,5,1514.25
2426.96,171.29,9016.77,100,1.76436000109,15,1514.25
2468.57,166.35,9938.9,100,1.86432000399,30,1514.25
2532.58,161.0,10650.1,100,1.95087000608,45,1514.25
2524.36,168.45,7886.71,70,1.63146000862,5,1515.0
2423.31,172.41,8852.62,99,1.73343000889,15,1515.0
2457.73,166.76,9636.68,100,1.81375999689,30,1515.0
2508.4,161.59,10544.36,100,1.92855000257,45,1515.0
2462.11,170.82,7948.73,77,1.65685002327,5,1515.75
2417.42,173.44,8713.62,100,1.71978000879,15,1515.75
2448.44,168.22,9831.98,100,1.85588001013,30,1515.75
2510.22,159.41,9871.28,100,1.81316999912,45,1515.75
2412.7,176.62,7952.58,88,1.67702999592,5,1516.5
2416.19,172.14,8564.77,100,1.6890399909,15,1516.5
2459.55,168.27,9621.29,100,1.81934000254,30,1516.5
2488.34,163.74,10839.13,100,1.99396000147,45,1516.5
2392.5,181.37,7905.95,92,1.66806001186,5,1517.25
2418.81,174.72,8473.44,100,1.6709100008,15,1517.25
2466.87,165.62,9271.04,100,1.75573998928,30,1517.25
2495.4,163.28,10266.57,100,1.93034001112,45,1517.25
2392.68,179.54,7705.18,90,1.87173999786,5,1518.0
2421.27,175.29,8699.73,100,1.76940999269,15,1518.0
2451.71,170.27,9602.47,100,1.84604999065,30,1518.0
2490.5,166.51,10292.17,100,8.90968999624,45,1518.0
2367.7,181.32,7786.08,96,2.3693999815,5,1518.75
2402.82,174.32,8410.99,100,2.40955001354,15,1518.75
2449.42,169.23,9204.13,100,2.38360000134,30,1518.75
2485.47,164.1,10011.03,100,2.50042998552,45,1518.75
2379.29,179.09,7795.13,93,2.17275999546,5,1519.5
2411.47,174.85,8330.81,100,1.72002000332,15,1519.5
2441.35,169.96,9158.75,100,1.78420001984,30,1519.5
2472.57,165.31,10002.43,100,1.88708999634,45,1519.5
2371.54,181.23,7739.11,97,1.67934000731,5,1520.25
2409.96,175.64,8574.87,100,1.72844000816,15,1520.25
2442.37,168.77,9238.29,100,1.78336000681,30,1520.25
2477.7,161.43,9486.82,100,1.78627998829,45,1520.25
2354.73,182.45,7761.86,97,1.67328999281,5,1521.0
2406.71,171.65,7936.28,100,1.59887000322,15,1521.0
2447.55,170.55,9056.8,100,1.7542800045,30,1521.0
2477.05,163.8,10085.86,100,1.8970099926,45,1521.0
2350.73,179.96,7798.23,99,1.69250001431,5,1521.75
2403.96,175.13,8382.16,100,1.69451000452,15,1521.75
2443.61,170.64,9267.58,100,1.79720998287,30,1521.75
2464.55,168.24,10102.08,100,1.91902998209,45,1521.75
