Cost,Reset,Iterations,Solved,TimeInHC,Dev,Batterycap
3669.81,73.5,5454.45,0,1.00842000961,5,1500.75
3607.65,76.37,6782.94,0,1.23716998816,15,1500.75
3765.25,61.17,6907.19,0,1.25114001989,30,1500.75
3902.16,54.46,6215.14,0,1.12381000996,45,1500.75
3614.21,78.88,5400.69,0,1.02693999767,5,1501.5
3629.38,76.76,6369.2,0,1.18827999592,15,1501.5
3625.19,71.94,7913.01,0,1.40293999195,30,1501.5
3621.85,69.23,8058.54,5,1.51750999451,45,1501.5
3524.35,86.97,5906.21,0,1.09958000898,5,1502.25
3485.29,85.85,6874.85,0,1.2534700036,15,1502.25
3473.23,81.77,8526.52,2,1.52711000443,30,1502.25
3364.89,86.87,10843.93,33,1.98299000025,45,1502.25
3421.46,92.07,6263.63,0,1.15738002777,5,1503.0
3408.93,91.33,7284.16,0,1.36719000578,15,1503.0
3384.24,87.32,8736.55,1,1.57774998426,30,1503.0
3108.09,104.59,11840.54,61,2.15703000069,45,1503.0
3422.4,95.66,6064.4,2,1.10783998251,5,1503.75
3421.5,90.75,6900.93,0,1.32221999884,15,1503.75
3173.75,105.45,9990.53,4,2.07002000809,30,1503.75
3010.93,112.88,11870.03,73,2.45282000065,45,1503.75
3343.6,102.88,6323.18,2,1.31625999451,5,1504.5
3251.17,102.51,7695.64,0,1.36650000334,15,1504.5
3000.16,114.91,10226.13,19,1.78736999989,30,1504.5
2875.41,123.49,12550.85,81,2.2274400115,45,1504.5
3328.09,102.0,6105.77,3,1.1378400135,5,1505.25
3188.24,105.4,7475.61,1,1.3310500145,15,1505.25
2864.49,125.89,11060.46,32,1.93933999538,30,1505.25
2785.93,132.04,12331.41,96,2.14511998892,45,1505.25
3215.65,109.85,6546.49,2,1.22370997667,5,1506.0
3034.85,118.6,7942.06,3,1.43087999821,15,1506.0
2783.11,134.7,11322.65,48,1.99708000422,30,1506.0
2726.05,137.87,12494.69,96,2.17943000555,45,1506.0
3172.16,111.34,6480.75,7,1.21552002192,5,1506.75
2973.97,125.18,8263.92,7,1.4926300025,15,1506.75
2650.61,147.82,11308.41,77,2.00638999224,30,1506.75
2673.54,143.2,12658.48,95,2.21946999788,45,1506.75
3108.49,121.62,6880.84,7,1.30700999022,5,1507.5
2830.14,132.2,8642.57,13,1.57238002539,15,1507.5
2577.88,152.06,11518.79,91,2.05728000641,30,1507.5
2644.28,145.12,12638.66,98,2.2201900053,45,1507.5
3051.35,123.74,6841.42,12,1.30109000444,5,1508.25
2704.02,145.73,9056.36,30,1.67275999784,15,1508.25
2520.85,158.51,11822.38,97,2.13268999815,30,1508.25
2621.69,147.48,11734.91,100,2.07247001886,45,1508.25
2887.39,134.57,6997.23,17,1.35316999197,5,1509.0
2619.09,155.57,9266.04,49,1.73114000082,15,1509.0
2530.08,156.88,10926.48,96,1.98347000599,30,1509.0
2585.74,149.39,11971.73,99,2.12192000389,45,1509.0
2864.58,138.16,7360.96,20,1.43557999611,5,1509.75
2539.75,164.01,9817.81,70,1.84854000092,15,1509.75
2501.06,160.89,10587.36,99,1.931910007,30,1509.75
2585.17,150.48,11957.5,100,2.13388000727,45,1509.75
2828.96,139.52,7311.5,21,1.43507000446,5,1510.5
2469.9,168.31,9387.57,85,1.79134000063,15,1510.5
2507.41,163.77,10647.64,100,1.95388001204,30,1510.5
2550.13,156.32,12082.93,100,2.16364001751,45,1510.5
2692.88,150.57,7361.42,39,1.47085000992,5,1511.25
2447.66,171.12,9711.27,94,1.86032000065,15,1511.25
2481.87,162.92,10851.86,100,1.99068000317,30,1511.25
2560.69,153.56,11268.7,100,2.02024999857,45,1511.25
2682.35,156.19,7354.35,43,1.48308000088,5,1512.0
2432.59,172.83,9275.42,97,1.79256999731,15,1512.0
2483.19,163.87,10423.16,100,1.92480000019,30,1512.0
2550.74,155.58,11179.28,100,2.01183998823,45,1512.0
2582.67,162.84,7805.8,60,1.58759000778,5,1512.75
2438.33,169.92,8676.42,99,1.68246000528,15,1512.75
2473.74,162.2,9815.56,100,1.82324000597,30,1512.75
2506.94,161.28,11568.71,100,2.08971001387,45,1512.75
