5544,-198,244.453999996,463051
6010,-193,14.6809999943,29039
5766,-180,0.618999958038,1291
5344,-168,15.3960001469,30071
6048,-157,16.7520000935,33079
6080,-150,0.0729999542236,160
5612,-143,1.57800006866,3163
5780,-128,3.58899998665,7246
5724,-119,41.3200001717,82228
5550,-113,6.76700019836,13479
5757,-96,67.9210000038,134019
5667,-83,19.3440001011,38132
5185,-80,5.36100006104,10461
5681,-70,2.60599994659,5144
5217,-56,2620.2249999,4538073
5604,-52,44.760999918,81014
5606,-32,8.9319999218,17328
5495,-28,7.77600002289,14729
5684,-20,48.6519999504,89463
5147,-12,4.53200006485,8574
5896,3,2.29600000381,4610
5566,11,69.1400001049,123329
5802,17,14.5910000801,26619
5419,32,46.6730000973,85004
5584,43,62.3319997787,117205
5664,46,82.4040000439,155143
5723,55,117.288000107,207593
5700,67,250.447999954,452682
5902,79,17.1079998016,31321
5690,96,256.632999897,436450
