str(cost)+,+str(overCapacity)+,+str(Elapsed)+,+str(itt)+,+str(reset)+
3485,4.25918775718,3.24300003052,6742,141
3740,28.7339163681,2.57899999619,5745,145
3645,11.3141513569,1.93699979782,4343,124
3623,2.1106183231,1.6210000515,3421,148
3653,29.3299852664,2.69499993324,5789,139
3776,26.3353832031,1.7349998951,3722,133
3791,27.4063884132,1.89699983597,4031,141
3560,21.2575994198,2.14299988747,4605,145
3584,7.1282608882,2.42299985886,4184,138
3622,6.02284590129,2.48399996758,5358,128
3699,30.3531185363,3.28700017929,7396,144
3723,20.2399794337,2.57299995422,5465,141
3604,34.5582163232,2.36400008202,5165,144
3665,12.4949386486,2.08999991417,4512,134
3764,33.0852862593,3.10100007057,6874,140
3556,6.75590328737,3.63700008392,7436,147
3489,27.0790882054,3.21900010109,6873,177
3561,12.221386191,3.05799984932,6493,162
3657,7.34515738745,1.92100000381,4492,120
3607,12.3698217573,2.11000013351,4358,153
3597,23.0852542495,1.992000103,4111,135
3529,28.046493626,1.81200003624,3831,128
3783,5.33088091216,3.85699987411,8043,129
3719,20.6557707318,3.08899998665,6874,136
3599,27.6550988205,1.8599998951,4054,127
5411,157.196706029,0.582000017166,1848,24
3559,12.4368691768,2.85199999809,6818,158
3691,4.85466965549,1.89400005341,3940,127
3678,19.1979237775,1.51900005341,3451,121
3655,7.76854027012,1.87599992752,3979,137
3560,9.66899441769,2.66499996185,5729,146
3708,16.612633547,2.03999996185,4246,105
3692,0.113056585755,2.18499994278,4771,126
3623,33.8217452978,1.97999978065,4043,128
3508,8.83861409603,2.06699991226,4213,134
3681,1.38747245842,3.13899993896,6249,145
3683,27.3655162828,2.09599995613,4703,137
3645,26.336629638,2.07899999619,4817,113
3584,9.49741054368,3.45899987221,7720,161
3626,20.1569629017,1.86500000954,4290,140
4209,228.77644729,1.617000103,4035,87
3712,4.18961661111,2.67199993134,5868,148
3697,17.7123787219,1.53800010681,3377,149
3616,3.07823287557,1.66699981689,3642,126
3719,6.83744294712,3.05700016022,6679,145
3509,13.0223246616,2.22699999809,4873,158
3594,34.7759228253,3.37800002098,7413,148
3628,22.8742405853,1.93300008774,4500,145
3718,2.8016606672,2.09399986267,4467,142
3576,22.6123116306,1.87200021744,4215,140
3537,28.6334931448,3.45100021362,8101,162
3635,26.4479112823,2.53799986839,5926,140
3670,13.8533638339,2.22799992561,5398,129
3794,22.6480237383,1.50300002098,3383,132
3507,22.9693472323,2.90700006485,6619,177
3648,17.5153395487,2.15400004387,4989,139
3650,4.49579456801,1.96900010109,4292,163
3577,9.0427474828,2.27200007439,5004,153
3679,18.7309699876,1.1970000267,2696,124
3737,5.49296427267,1.17499995232,2670,125
3559,3.60682460047,2.00900006294,4345,130
3670,1.96492618463,2.40799999237,5325,156
3584,6.26677957129,2.78500008583,6187,151
3530,16.196568589,1.93499994278,4228,136
3604,32.7255772754,2.60800004005,6180,120
3487,3.96434462176,2.83800005913,6115,136
3651,36.406381015,2.15700006485,4980,116
3501,31.002372553,2.03300023079,4581,157
3619,1.57879654799,2.91400003433,6304,139
3681,38.377741847,1.41799998283,3356,127
3888,27.5061317256,2.46900010109,5711,149
3654,8.69366818335,2.68499994278,5855,134
3617,1.03375955674,2.17700004578,4762,133
3646,41.0762844098,2.31100010872,5046,148
3730,19.5316462049,2.05999994278,4563,134
3755,26.2730782802,2.46000003815,5640,134
3564,10.8865762773,1.75999999046,3927,141
3632,16.7812135654,1.82399988174,4037,150
3636,16.8941100809,2.93899989128,6665,142
3821,31.8744828177,1.53099989891,3945,100
3628,31.476551044,3.04299998283,6976,154
3619,11.7611385023,2.37199997902,5321,159
3572,15.7704792948,2.257999897,4977,148
3918,23.9072607423,1.52799987793,3498,121
3787,27.7150624296,1.78399991989,4077,128
3619,24.2522581973,2.08500003815,4591,150
3670,25.964238072,2.72399997711,6291,136
3534,32.492746539,1.84500002861,4092,134
3592,20.1348695232,2.60400009155,5875,163
3573,27.2112623467,2.25199985504,5191,142
3466,2.15022712765,3.25900006294,6983,165
3592,27.6844191811,1.98000001907,4617,159
3650,8.15378964045,1.7990000248,3986,130
3472,23.3148831749,2.4849998951,5439,136
3497,22.7856828432,2.9960000515,6847,158
3606,2.78334977689,2.88100004196,6129,144
3701,26.9456591739,1.85199999809,4240,137
3660,5.30714148395,1.90499997139,4621,117
3669,12.4849385928,2.61100006104,5787,147
3497,6.07949637436,3.01099991798,6338,127
