0,5,6,7,8,9,10,11,12,13,14,15,100
44,43,43,44,42,37,30,14,6,3,1,2,1,
39,35,34,34,28,26,17,10,6,6,5,5,6,
45,45,45,44,42,31,13,6,2,0,0,0,0,
42,41,40,40,38,36,26,18,11,6,5,3,4,
43,43,43,44,43,40,25,14,7,2,1,1,1,
38,37,36,36,36,32,30,16,12,10,7,6,7,
41,41,41,41,42,39,30,20,13,8,5,6,4,
34,32,31,31,29,26,20,19,15,11,11,10,10,
37,38,38,38,39,37,35,27,16,13,10,8,8,
30,28,27,25,23,19,17,16,13,14,14,12,14,
40,40,40,40,40,38,26,15,7,6,4,3,3,
32,33,33,34,33,32,31,29,25,18,15,13,11,
36,38,39,39,39,42,36,30,20,14,12,10,8,
29,29,29,27,27,26,28,26,27,21,19,16,15,
35,35,35,35,37,38,37,34,27,22,17,15,13,
27,24,23,22,20,20,19,23,25,23,21,20,18,
31,30,30,31,32,35,38,38,32,29,22,20,16,
21,20,19,18,16,14,14,17,22,20,22,20,21,
33,33,34,33,34,33,30,25,21,16,14,13,11,
26,25,25,26,27,26,33,35,32,31,28,25,19,
28,30,32,32,35,42,44,40,35,33,30,25,17,
22,21,20,20,21,20,23,31,32,30,28,28,23,
25,26,27,28,30,35,43,40,40,36,33,31,21,
16,16,16,15,14,13,17,24,30,30,29,26,25,
23,22,22,23,24,25,37,41,39,38,38,36,24,
12,12,12,11,10,10,10,13,23,26,28,27,29,
24,25,25,25,24,27,26,27,28,27,25,22,19,
17,17,17,18,17,20,27,35,37,39,37,36,27,
20,23,23,26,28,37,43,44,44,42,41,41,26,
13,13,13,13,12,13,16,25,32,33,36,34,31,
19,19,19,20,22,26,38,41,43,43,43,42,29,
11,9,9,9,9,8,8,12,21,28,30,32,32,
14,14,13,14,15,17,26,35,39,41,41,41,32,
8,6,6,6,6,6,5,5,12,20,22,26,35,
18,16,17,16,17,18,22,27,29,30,29,29,27,
10,10,10,10,10,11,13,25,34,34,38,38,35,
15,15,15,17,18,22,33,42,44,45,45,44,34,
7,7,7,7,7,7,7,9,21,27,30,36,37,
9,11,11,12,13,15,20,36,41,42,43,44,37,
5,4,4,4,4,4,4,4,10,17,23,28,40,
6,8,8,8,8,8,10,17,26,36,38,41,39,
3,2,2,2,2,2,2,2,3,8,14,19,41,
4,5,5,5,5,5,5,7,15,23,30,35,42,
2,3,3,3,3,3,3,3,4,12,19,24,43,
1,1,1,1,1,1,1,1,1,4,10,17,43,
0,0,0,0,0,0,0,0,0,1,5,10,45,
