str(cost)+,+str(overCapacity)+,+str(Elapsed)+,+str(itt)+,+str(reset)+
3663,2.39479347765,1.62800002098,5862,138
3673,5.18696338611,0.799999952316,2838,119
3596,27.1565042838,1.65399980545,5992,152
3732,14.9176611339,1.125,4004,129
3728,38.79902819,1.7009999752,6070,147
3546,17.9220726956,1.07199978828,3854,133
3598,26.2334886156,1.01699995995,3649,139
3693,26.3260939628,0.970999956131,3670,124
3669,8.26230144603,1.68300008774,6310,132
3625,27.0216492535,1.57800006866,5823,134
3723,3.32637640939,1.68799996376,6161,129
3618,24.7255371269,0.808000087738,2945,145
3477,6.15437483611,1.367000103,4846,165
3827,16.2164856829,0.823000192642,3013,131
3679,0.252820971461,1.25900006294,4600,135
3660,26.2754767455,1.22399997711,4468,149
3702,16.748485047,1.43000006676,5060,158
3606,33.5277439544,1.18099999428,4238,140
3534,8.07355418881,1.38100004196,4771,166
3617,24.2083547708,1.22000002861,4401,145
3646,10.8350121138,1.8109998703,6351,148
3858,4.34075543757,1.01399993896,3658,114
3739,21.666140401,1.80099987984,6407,146
3788,36.4901654852,1.05499982834,3766,123
3522,11.089027519,1.05800008774,3791,144
3575,21.877386924,1.6970000267,6127,148
3819,25.3989113427,1.91100001335,7038,129
3654,3.69381919159,1.8069999218,6257,151
3470,2.09367304695,1.29399991035,4480,162
3576,20.359091097,1.71900010109,6108,143
3699,8.70640229426,1.41899991035,4922,142
3510,27.9566991183,1.28099989891,4480,148
3512,8.5476493419,1.63399982452,5907,153
3650,11.906545351,1.25200009346,4446,142
3593,24.8340714442,1.80799984932,6498,142
3597,25.6478851732,1.44199991226,5181,155
3443,20.6293981402,2.35100007057,8168,158
3589,9.18474403571,1.68499994278,5973,155
3755,13.9833194589,1.41900014877,5078,119
3644,21.1837981737,1.14200019836,4074,142
3536,19.4868993544,1.47399997711,5207,158
3740,13.1381199471,1.07999992371,3913,145
3737,26.8324319014,1.30999994278,4716,103
3590,21.6634275675,1.19499993324,4191,150
3604,22.8899037544,2.34799981117,8709,138
3960,172.215437505,1.70000004768,6588,119
3571,9.59996783597,1.48399996758,5178,158
3507,0.722899811886,1.51499986649,5222,157
3685,17.4787911534,1.41199994087,5249,142
3854,17.2816376923,0.942999839783,3473,135
3523,27.3299693393,1.87999987602,6755,159
