str(cost)+,+str(overCapacity)+,+str(Elapsed)+,+str(itt)+,+str(reset)+
2083,True,4.49300003052,8042,172
2132,True,4.68099999428,8790,205
2122,True,3.73399996758,6627,186
2460,True,3.26700019836,6669,149
2063,True,4.66299986839,8537,179
2133,True,4.75699996948,8845,165
2146,True,3.70399999619,6751,184
2078,True,4.74900007248,8569,179
2233,True,2.62300014496,4844,170
2276,True,3.19200015068,5779,170
2075,True,6.625,11739,204
2104,True,3.66499996185,6409,183
2097,True,4.89700007439,8621,175
2121,True,3.87800002098,6880,180
2137,True,3.57699990273,6501,191
2127,True,3.32500004768,5930,167
2168,True,2.28400015831,4433,175
2159,True,3.61800003052,6838,157
2105,True,5.91400003433,9541,175
2254,True,3.44799995422,5812,166
2119,True,4.35800004005,7303,149
2258,True,2.9279999733,5637,145
2148,True,3.15600013733,5666,161
2208,True,3.24000000954,5619,163
2068,True,4.08899998665,7462,197
2086,True,3.56299996376,6618,192
2077,True,3.73799991608,6913,178
2169,True,4.4240000248,7884,166
2091,True,4.57299995422,8301,195
2097,True,3.27099990845,5740,189
2150,True,4.53200006485,8336,176
2148,True,3.95000004768,6790,171
2137,True,3.86899995804,7504,175
2270,True,3.73099994659,7186,154
2144,True,3.36699986458,5606,189
2052,True,5.39100003242,9109,182
2149,True,3.62299990654,6205,168
2115,True,3.29800009727,5559,167
2094,True,5.65100002289,10674,208
2081,True,3.99499988556,6497,180
2236,True,2.96800017357,4193,162
2130,True,6.1819999218,8642,166
2180,True,4.35699987411,6582,150
2103,True,6.48600006104,8703,188
2090,True,3.16700005531,5421,155
2207,True,3.18799996376,5550,158
2109,True,4.25,7252,200
2137,True,4.19400000572,6913,193
2129,True,4.54699993134,7442,191
2102,True,5.52300000191,10014,176
2101,True,3.52900004387,5983,177
2131,True,2.98699998856,5441,168
2079,True,3.65499997139,6717,158
2150,True,3.58099985123,6493,194
2133,True,4.22900009155,7337,166
2123,True,4.83200001717,8407,195
2074,True,4.93200016022,8899,197
2087,True,5.86299991608,10206,187
2210,True,2.55100011826,4642,158
2097,True,6.6899998188,12442,219
2119,True,2.47799992561,4268,184
2077,True,4.13800001144,7260,205
2296,True,3.38599991798,6192,176
2176,True,3.10599994659,5313,170
2098,True,4.17199993134,6861,165
2073,True,4.17499995232,7161,181
2165,True,2.65100002289,4642,176
2101,True,6.42599987984,11284,180
2106,True,3.90799999237,6765,197
2172,True,3.05499982834,5683,184
2158,True,3.75200009346,6585,172
2124,True,4.19000005722,7437,211
2140,True,5.07500004768,8412,200
2160,True,3.97399997711,7026,177
2244,True,3.06200003624,5609,172
2156,True,4.58200001717,8266,187
2149,True,3.492000103,5096,175
2153,True,3.01400017738,4211,167
2082,True,6.55900001526,9089,196
2049,True,5.17700004578,7086,187
2124,True,4.22800016403,5842,174
2091,True,4.52999997139,7876,183
2046,True,4.19799995422,8927,216
3206,True,2.69400000572,6505,120
2091,True,2.70600008965,5970,196
2201,True,2.40299987793,5396,175
2085,True,4.15499997139,7734,188
2184,True,3.28499984741,5928,173
2149,True,3.63400006294,6830,197
2117,True,4.52399992943,8789,203
2102,True,2.65599989891,5820,170
2091,True,2.85899996758,6409,182
2146,True,2.96900010109,6473,189
2102,True,3.26699995995,7492,205
2067,True,3.77900004387,8482,196
2093,True,3.45199990273,7720,186
2070,True,2.78700017929,6303,194
2225,True,1.89299988747,4424,170
2116,True,3.68400001526,8552,208
2241,True,2.33899998665,5469,177
