str(cost)+,+str(overCapacity)+,+str(Elapsed)+,+str(itt)+,+str(reset)+
2244,15.3219074235,1.66499996185,6358,153
2210,4.56448851439,1.37800002098,5160,161
2108,10.1691735982,1.77099990845,6591,182
2151,13.5585310758,1.59599995613,5973,181
2140,3.16028829235,2.21900010109,8241,177
2169,4.70587183887,1.50999999046,5728,164
2240,17.9395040187,1.44599986076,5317,170
2106,24.5938241983,2.61500000954,9682,185
2162,19.2809897832,1.51800012589,5474,171
2096,20.7648549611,2.24300003052,8321,199
2044,23.1994548159,2.72300004959,10165,222
2129,2.75690230091,2.44600009918,8601,214
2169,7.38224588864,1.79399991035,6716,185
2077,2.28373115277,3.34699988365,11980,195
2234,10.7947206256,1.89699983597,7014,162
2049,31.8688124868,2.25499987602,8562,190
2144,15.3845010357,2.60800004005,9604,184
2142,19.9273368672,1.51200008392,5494,167
2133,0.604128192156,1.65199995041,6093,176
2189,5.46409113624,2.03800010681,7318,190
2074,6.47733237641,2.02699995041,7310,191
2091,10.2749041126,1.68899989128,6044,164
2101,4.14458308571,2.24900007248,8051,176
2177,11.9295582802,1.21700000763,4311,183
2086,24.8308781908,2.34899997711,8658,192
2062,19.701752933,2.46399998665,9329,179
2212,19.8566116633,1.16000008583,4288,160
2147,8.33669736754,1.83800005913,6766,179
2196,18.014952363,1.29800009727,4852,176
2136,24.6161384732,1.72600007057,6255,170
2118,11.0347095158,2.23699998856,7898,188
2092,11.433207845,2.15400004387,7746,190
2084,16.4206822764,2.27699995041,8368,197
2130,7.47105563652,1.81500005722,6565,177
2093,2.85593519556,2.48199987411,8900,180
2117,2.78271040497,1.76300001144,6349,169
2134,19.6778767327,1.86000013351,7036,170
2052,20.3322958501,1.81299996376,6834,176
2116,11.0493456075,1.8259999752,6690,186
2059,3.12472462603,2.92200016975,10528,185
2094,21.7943288895,2.50300002098,8921,185
2202,18.0711313969,1.14499998093,4143,171
2120,6.14487793168,1.50600004196,5436,188
2103,3.24051406119,1.78699994087,6528,179
2100,14.2829549433,2.01400017738,7150,180
2178,9.05997472781,1.60599994659,5885,152
2133,11.8140348298,1.68700003624,6249,181
2069,11.2684554488,2.32700014114,8385,212
2078,13.7593140235,1.97699999809,6932,198
2146,18.3420295726,2.04099988937,7459,193
2164,16.5358652881,2.06500005722,7399,205
2140,18.922261987,2.6289999485,9789,195
2113,7.80946268699,1.61800003052,6057,161
2049,10.9877702309,2.50499987602,9161,191
2096,20.0401366354,2.03799986839,7414,190
2060,18.2092587011,3.05100011826,11355,188
2060,19.6883384288,2.39300012589,8613,198
2123,7.69794509872,2.16799998283,7468,180
2154,18.9409592199,2.11000013351,7433,175
2104,24.9110916087,2.47800016403,9058,189
2327,7.65217835717,1.367000103,4962,156
2090,19.270862075,2.94900012016,10426,209
2137,7.93730031157,2.14399981499,7769,192
4721,167.023446931,0.481999874115,2147,23
2127,1.58829301538,1.47199988365,5356,179
2072,23.5477348652,1.61199998856,5958,201
2117,9.71969304562,1.60600018501,5778,170
2355,10.2948736763,1.19800019264,4403,156
2044,18.169259628,3.73000001907,13548,190
2105,1.46964757661,2.19400000572,8006,169
2161,3.45515148958,1.66000008583,6007,155
2157,2.58677013959,1.45399999619,5351,172
2200,15.8832244545,1.08899998665,4045,178
2113,2.97193502016,1.40899991989,5121,167
2220,17.3829599447,1.41800022125,5000,164
2148,2.82476044239,1.58200001717,5838,163
2100,2.09363899329,2.70000004768,9658,195
2372,11.3851667583,2.33400011063,8592,156
2385,10.116461676,1.03400015831,3816,137
2054,24.2521402867,2.31900000572,8098,193
2128,23.626114105,1.72199988365,6034,188
2133,1.37389510191,1.52999997139,5509,175
2090,20.5847668064,2.00400018692,7267,179
2150,20.7922244493,1.95000004768,7076,176
2137,9.08128089336,1.88199996948,6804,188
2138,19.4204639875,1.82299995422,6718,185
2122,19.1413286404,2.07299995422,7448,170
2158,10.5675098919,1.77000021935,6619,163
2511,2.20555114886,0.857000112534,3280,120
2099,8.14041201658,2.09400010109,7448,204
2175,11.8964545043,1.23399996758,4306,173
2060,15.8874109712,2.8220000267,9996,201
2060,17.5982184346,2.20000004768,7948,185
2189,7.21549250171,1.57899999619,5658,169
2096,7.57487463641,1.69099998474,5853,195
2129,17.3955655661,2.00999999046,7031,193
2075,11.0963697856,2.54600000381,9040,187
2150,5.68074776752,2.13700008392,7837,168
2168,18.676218598,1.82399988174,6361,162
2085,9.5219188256,1.89299988747,6691,166
2044,19.6802294876,2.50199985504,9279,202
2152,5.95155337422,1.15299987793,4270,164
2127,15.5648487902,1.88899993896,7049,194
2061,20.151692093,2.40999984741,8495,176
2128,20.7171925496,2.04600000381,7415,188
2086,21.2822710943,2.45399999619,9219,174
2168,21.3085281425,1.73699998856,6273,201
2291,8.1285305698,1.02699995041,3685,182
2116,19.4947705307,1.76200008392,6287,186
2224,16.2308770519,2.10100007057,7471,176
2100,17.8642418533,1.79100012779,6525,201
