Cost,Reset,Iterations,Solved,TimeInHC
4691.4,58.43,4238.38,0,0.744219968319
4477.18,70.4,5259.36,0,0.924399988651
4486.08,67.06,5774.03,0,0.995269999504
4493.3,65.22,6315.78,0,1.07933001041
4510.44,63.97,6394.18,0,1.08930001259
4613.41,59.23,6322.07,0,1.07252999306
4580.53,58.32,6633.64,0,1.12289998293
4685.56,53.31,5768.14,0,0.980219988823
4490.67,67.17,4620.36,0,0.824960010052
4413.3,73.59,5646.12,0,0.994600007534
4503.74,68.09,5504.26,0,0.956129994392
4511.57,68.27,6446.0,0,1.10420000076
