conf,9,10,batterycost
0 | 0 | 6,25285.32,27140.4,10800
0 | 2 | 5,25511.22,26950.7,11700
0 | 4 | 4,25505.28,26934.3,12600
0 | 6 | 3,25706.25,27000.5,13500
0 | 8 | 2,25895.61,27289.7,14400
0 | 10 | 1,26316.63,27501.9,15300
0 | 12 | 0,26795.97,27838.7,16200
2 | 1 | 5,25533.36,26881.0,12150
2 | 3 | 4,25761.33,27015.4,13050
2 | 5 | 3,25857.18,27089.7,13950
2 | 7 | 2,26096.04,27381.3,14850
2 | 9 | 1,26460.63,27719.2,15750
2 | 11 | 0,26901.0,28071.4,16650
4 | 0 | 5,25561.98,27123.1,12600
4 | 2 | 4,25623.63,27136.3,13500
4 | 4 | 3,25930.53,27135.2,14400
4 | 6 | 2,26323.29,27439.0,15300
4 | 8 | 1,26666.91,27815.4,16200
4 | 10 | 0,27060.66,28298.1,17100
6 | 1 | 4,25955.91,27143.6,13950
6 | 3 | 3,26020.26,27402.9,14850
6 | 5 | 2,26489.34,27587.7,15750
6 | 7 | 1,26876.43,27827.8,16650
6 | 9 | 0,27253.08,28371.5,17550
8 | 0 | 4,25990.11,27337.1,14400
8 | 2 | 3,26215.83,27458.8,15300
8 | 4 | 2,26570.52,27667.4,16200
8 | 6 | 1,26912.61,28118.9,17100
8 | 8 | 0,27477.45,28452.5,18000
10 | 1 | 3,26292.33,27574.1,15750
10 | 3 | 2,26747.55,27900.1,16650
10 | 5 | 1,27133.92,28322.5,17550
10 | 7 | 0,27718.02,28665.8,18450
12 | 0 | 3,26416.71,27750.6,16200
12 | 2 | 2,26887.77,27868.5,17100
12 | 4 | 1,27451.35,28320.1,18000
12 | 6 | 0,27941.31,28867.5,18900
14 | 1 | 2,27088.56,28006.2,17550
14 | 3 | 1,27593.28,28619.2,18450
14 | 5 | 0,28125.54,29104.0,19350
16 | 0 | 2,27348.3,28347.7,18000
16 | 2 | 1,27799.56,28733.3,18900
16 | 4 | 0,28290.78,29250.0,19800
18 | 1 | 1,27917.55,28974.0,19350
18 | 3 | 0,28520.1,29643.4,20250
20 | 0 | 1,28217.79,29149.7,19800
20 | 2 | 0,28857.6,29779.2,20700
22 | 1 | 0,29076.39,29968.7,21150
24 | 0 | 0,29394.09,30249.6,21600
