str(cost)+,+str(overCapacity)+,+str(Elapsed)+,+str(itt)+,+str(reset)+
3952,0.705952933671,2.74000000954,11147,122
4309,4.20026382691,1.53299999237,6081,86
3860,0,2.0119998455,8392,105
3618,0,3.77800011635,15253,119
3562,0,2.69499993324,10889,132
3642,0,2.73399996758,10856,148
3571,0,3.0529999733,12301,135
3565,0,3.44099998474,13970,122
3549,0,2.86800003052,11868,152
3645,0,2.62300014496,10810,128
