medianCap,meanCap,maxiCap,miniCap,devCap,mediancost,meancost,maxicost,minicost,devcost,solutions
243.157391,242.6670108,284.8640337,0,13.83592621,5238,5237.9988,5832,4644,188.0674815,1
688.4410425,688.0659411,750.5950658,633.5447281,19.30894274,5172,5171.8082,5748,4588,174.8959291,0
188.294022,188.1660041,254.3270207,0,16.89263663,5188,5194.1546,5878,4552,207.5454141,1
779.9612885,779.6845911,826.8730275,723.9517187,15.2617652,5250,5254.8696,6121,4657,196.6190118,0
474.7587064,474.0247524,509.3972433,190.2973254,12.93579158,5081,5080.3578,5705,4445,181.3838383,0
581.5571757,581.1552065,632.592452,528.4273193,16.63956144,5059,5062.177,5581,4571,163.7334586,0
434.4304871,434.3970933,484.2443695,136.7873503,17.51419314,5112,5111.2116,5711,4611,189.8553745,0
240.6352238,240.5699869,287.3922832,8.34894267,14.44942542,5223,5223.315,5851,4531,206.9981709,0
376.2803225,376.1051347,427.6617809,144.7519947,15.54171295,5155,5154.743,5793,4603,182.8188917,0
438.0207306,437.505344,493.9028244,24.11887652,19.39409375,5237,5237.2516,5887,4601,196.7531913,0
481.8486679,482.7359469,543.1238557,283.6527718,14.81702983,5205,5196.574,5681,4533,197.4355574,0
390.7259212,390.3561556,449.8980891,0,19.34929107,5102,5105.6214,5756,4610,187.6799474,1
492.3365945,492.0501995,537.4215289,0,16.86160247,5228,5222.7358,5804,4500,203.4125635,2
778.2929154,778.7540509,833.4610356,102.8183979,18.50678583,5159,5163.459,5847,4521,189.3091295,0
686.2449101,685.7275999,739.3422805,0,19.86451422,5211,5201.8816,5775,4521,185.3632121,1
536.8426409,536.9870893,601.99356,0,20.00404909,5190,5176.7636,5704,4564,177.7484383,2
637.899976,637.7762954,687.3339586,150.8295479,15.87479292,5232,5228.236,5890,4610,207.7568297,0
488.3067898,488.3476154,542.4157016,0,18.86563599,5154,5152.5334,5750,4590,184.8268332,1
429.3544742,429.9361515,487.7689729,0,20.03578304,5141,5140.0784,5801,4473,200.693004,1
381.2687091,380.6293925,437.8413083,0,18.32085041,5211,5211.9932,5769,4403,184.7705192,1
283.9940787,284.5556296,338.1579309,103.8894384,16.40565852,5176,5172.5928,5756,4572,193.201192,0
337.99571,338.3878825,391.3150719,288.7711966,16.19517864,5261,5259.9594,5989,4647,186.5397822,0
288.2799017,287.5588872,351.0079334,0,17.21100755,5134,5136.741,5884,4568,190.5732492,1
639.0875736,639.0287321,688.4268787,389.2052574,16.52982581,5168,5160.4106,5812,4562,201.0011756,0
334.7318149,334.9132549,389.6413359,150.9940406,17.25644574,5115,5109.2472,5757,4455,191.032587,0
883.9380935,883.1447527,935.4775709,834.42233,16.64972743,5341,5347.8832,5941,4753,187.5984519,0
239.7988825,239.4266755,299.45813,8.62845191,16.1512517,5180,5180.9902,5779,4597,193.4670646,0
629.963081,630.3466837,682.7631967,295.1635283,16.09978452,5278,5286.2164,5894,4710,186.474055,0
376.0120281,376.3428026,424.2399853,222.5702508,16.67233615,5144,5137.9214,5718,4444,205.6535082,0
488.3881628,487.146897,531.8437319,0,18.62712669,5223,5224.6142,5769,4645,172.2737135,2
491.5710074,492.175376,545.9596139,212.9911273,17.16562143,5189,5186.0564,5749,4657,176.9573644,0
481.0141205,481.7976494,534.1528454,145.5266781,16.80105093,5204,5204.7676,5764,4482,187.7330775,0
928.9270409,927.9601842,995.8341439,180.5664726,20.91433821,5176,5165.5016,5666,4520,192.6799304,0
438.6974174,437.5708254,489.226652,0,21.36656821,5093,5098.347,5713,4495,198.2241771,3
390.6450694,390.7228035,445.1024568,275.0996149,16.37532384,5235,5232.2124,5851,4625,205.574986,0
440.1951281,439.3886951,500.3891878,88.54017363,17.77221532,5143,5137.4902,5695,4517,188.9257402,0
202.0996728,202.1378662,252.3572801,0,14.96802372,5208,5216.039,5978,4684,186.9976505,1
336.1508835,335.6580642,393.2085432,186.9358984,18.44807973,5177,5182.4932,5835,4569,189.5251075,0
386.4599219,385.9967318,433.809821,190.0125292,17.96309871,5096,5089.5824,5730,4564,184.0794177,0
497.2660004,496.7933112,544.988157,0,18.10182105,5197,5192.3636,5759,4585,202.553001,2
385.430321,385.5206852,448.5447578,0,18.03098992,5135,5128.456,5705,4509,189.6662544,1
488.6747383,488.5974096,539.4312116,400.4247926,15.37500997,5172,5164.7696,5734,4518,183.6785097,0
426.0161957,426.1722495,481.8911426,283.3134863,17.13634271,5213,5217.9854,5763,4611,185.0123882,0
436.7957137,437.0049331,499.9779311,0,17.37575681,5159,5151.1812,5689,4357,194.8363066,1
133.3455635,133.7758495,188.0592993,58.04531106,15.60194927,5179,5175.1248,5811,4623,196.05807,0
587.3267117,587.7537042,650.9592309,481.6410568,18.90964686,5024,5025.1764,5550,4454,178.672279,0
382.5595554,383.6001335,438.382762,184.642925,13.56150831,5204,5212.6506,5778,4662,192.5645999,0
391.0543564,391.7835901,439.7493488,246.4337865,14.28791406,5093,5079.9584,5677,4447,198.0158213,0
587.6874617,587.472401,646.4965328,523.5746767,15.86397069,5291,5299.0236,5915,4583,195.0174522,0
239.9062037,239.7757913,294.2399839,129.9625443,17.93367648,5156,5154.7684,5776,4560,197.2806021,0
430.4054119,430.3474647,485.7078308,113.1824677,19.22198589,5267,5263.755,5825,4651,209.3644248,0
528.1770314,528.7118553,581.7653491,0,17.88620631,5216,5210.0598,5742,4700,169.0816064,1
243.9795817,244.0944416,293.9620771,156.5290406,15.04573645,5173,5164.8982,5785,4563,215.6206642,0
241.1107039,240.9228746,288.4439784,194.236754,16.49414159,5166,5165.9546,5714,4436,197.794388,0
579.5223913,578.2485501,630.7895083,251.244159,18.1317769,5257,5258.4112,5951,4639,213.3797753,0
138.3648675,138.4949073,195.1672821,40.63034757,16.65718524,5201,5199.7104,5833,4695,173.6404127,0
784.3231343,784.7292733,839.3532079,724.1476299,19.39747636,5100,5100.945,5652,4480,195.4099654,0
676.9159288,677.0862257,723.7244411,0,19.05556346,5071,5078.3784,5697,4417,184.3105966,1
647.0150594,647.3557147,702.3437227,0,17.61680576,5225,5224.9768,5949,4659,204.7631926,1
546.1696852,545.804824,602.9220878,494.9699892,17.01515724,5333,5333.5664,5873,4831,176.0537122,0
483.938745,484.8300302,544.0609738,440.3636625,16.05291644,5116,5113.0322,5660,4598,187.5752173,0
386.3075516,386.7686028,436.4151945,294.3064953,16.89642277,5187,5190.2996,5811,4627,200.1097015,0
585.7209241,585.5791022,643.3994859,0,22.03405547,5130,5134.883,5708,4666,170.259033,2
643.3001805,643.0345157,691.4717031,590.2791241,16.40385756,5088,5076.905,5512,4460,171.6950057,0
346.8991568,347.3118231,395.2434973,21.4610293,15.27984255,5165,5169.194,5785,4575,196.029965,0
191.3947187,191.3501854,238.5504599,147.1178,14.95848921,5143,5123.7264,5691,4533,206.4710913,0
437.9469475,438.9569032,505.2637987,0,19.67789994,5178,5175.2838,5836,4544,174.857545,1
479.8070889,480.6449399,546.8346588,140.9843152,18.69438613,5131,5132.0338,5697,4481,191.0109077,0
286.3170914,286.8926274,337.8721694,106.2711598,16.91248592,5175,5174.7174,5709,4627,176.1423553,0
271.0353665,270.6453038,304.6469457,94.23117168,12.48773529,5111,5099.4614,5627,4535,175.8375555,0
438.8598509,439.7848258,488.4521253,384.1574638,14.92482921,5114,5116.0514,5736,4562,170.0082238,0
