23,19
5,4
11,9
88,74
26,22
258,203
225,188
59,46
73,58
14,11
62,50
127,98
16,13
93,74
18,14
18,15
51,43
71,57
345,266
23,17
31,23
413,328
63,51
77,67
44,27
103,79
33,26
219,162
97,78
27,21
11,9
40,33
28,20
107,92
32,27
151,123
78,54
207,171
76,58
173,132
66,55
40,33
139,104
28,20
70,58
11,9
124,101
116,97
67,48
61,48
75,64
26,20
79,65
130,105
12,10
167,116
24,19
163,129
23,22
105,91
3,2
78,64
196,155
50,42
165,139
53,47
83,60
153,125
167,133
90,71
39,28
19,15
114,88
48,40
45,38
74,58
209,168
118,91
259,209
10,9
78,62
104,82
63,50
90,73
6,6
154,130
67,52
88,68
123,96
78,66
159,129
63,52
45,39
69,55
12,9
157,123
62,52
4,2
98,79
51,38
84,67
57,45
179,142
12,11
12,12
39,32
119,96
91,73
124,97
101,85
190,151
132,104
13,12
4,3
123,104
213,167
53,41
31,26
115,93
24,19
40,32
141,113
136,110
27,23
18,16
15,9
29,20
142,113
100,77
51,39
89,72
28,24
62,54
18,16
47,36
11,10
28,22
60,47
43,39
81,67
35,27
11,8
71,57
138,116
9,6
45,40
10,6
157,127
33,28
31,25
7,4
64,56
6,6
27,22
109,87
62,52
142,107
42,33
133,108
51,40
80,66
33,26
51,45
61,50
184,138
372,286
16,11
86,71
186,142
76,62
61,48
8,6
136,112
18,16
18,14
10,6
15,14
201,162
22,20
80,62
204,154
41,29
51,42
39,35
20,15
55,47
69,52
1,1
44,32
166,132
57,46
10,8
162,138
33,28
87,76
53,39
32,26
0,0
112,95
9,9
34,25
15,10
29,24
227,186
39,32
27,19
6,3
25,22
114,95
108,76
98,83
193,160
118,97
65,56
59,50
136,108
175,140
205,165
35,24
151,115
8,5
40,31
79,66
135,108
112,91
66,50
220,170
191,153
13,10
43,32
83,65
63,44
73,58
55,40
11,8
98,81
112,94
12,9
154,122
105,91
64,52
24,19
27,18
172,135
32,27
32,29
52,42
61,48
88,66
70,60
20,18
55,44
157,118
61,46
147,123
24,16
92,79
169,142
59,50
19,15
76,57
28,23
75,55
119,99
52,40
133,100
136,105
73,56
5,4
70,60
13,11
2,2
13,10
25,18
11,10
5,4
364,290
214,156
303,232
90,70
251,212
47,37
33,24
182,138
171,135
76,65
75,58
218,170
5,4
51,43
114,90
92,73
48,41
32,23
89,72
5,4
47,35
75,55
6,3
8,8
126,93
6,6
81,65
312,250
39,32
8,7
19,17
116,91
23,22
123,99
14,13
148,105
40,30
17,13
65,53
293,235
98,76
11,7
192,138
374,294
3,3
127,92
134,103
54,45
227,189
53,45
181,144
75,62
83,60
377,304
109,81
38,30
192,154
51,40
255,203
105,81
495,383
66,54
144,114
54,44
10,9
87,68
60,45
208,162
126,101
8,3
52,45
23,18
68,51
12,11
29,24
44,31
31,24
20,14
176,126
20,18
143,109
33,22
14,13
90,69
132,96
28,23
290,237
59,46
239,205
67,56
44,34
61,54
31,27
97,73
79,64
67,53
264,206
103,77
50,42
26,20
35,28
71,56
124,93
259,204
92,73
146,109
127,110
77,63
310,248
32,24
199,153
88,62
101,78
34,24
76,59
23,20
117,85
64,48
25,17
2,2
109,84
124,100
136,106
150,120
