218,174
30,25
48,32
224,180
158,136
106,89
62,49
38,30
7,7
54,42
102,79
67,53
69,56
45,35
282,206
40,34
96,75
220,175
106,84
12,12
3,3
96,71
133,107
172,127
62,44
276,218
75,58
29,20
105,93
47,37
204,165
62,51
34,27
39,31
20,15
31,23
40,36
5,2
23,21
27,21
94,83
39,35
13,12
267,214
133,110
20,19
7,7
29,27
16,11
11,10
119,97
52,44
38,30
46,34
43,34
14,11
157,130
30,27
226,179
6,5
369,301
124,100
42,30
138,101
24,20
97,76
110,94
143,110
179,139
60,48
38,32
23,17
26,20
214,176
83,63
99,80
100,84
187,152
60,47
248,190
172,130
251,188
71,58
24,19
50,39
115,98
179,143
108,85
165,123
121,99
23,14
52,38
153,115
125,100
100,77
31,26
93,77
11,9
38,34
73,48
85,69
47,41
23,22
101,75
15,14
65,50
61,48
118,99
120,97
41,33
318,253
107,86
25,19
222,180
99,73
112,89
83,67
95,67
27,19
258,207
93,70
41,33
127,103
43,37
45,34
221,178
119,99
82,66
169,130
18,14
73,61
29,21
123,103
38,29
4,3
28,19
69,54
17,15
43,33
217,164
21,21
51,43
40,30
57,46
83,65
56,41
55,39
21,15
66,53
15,14
4,3
115,91
145,107
13,9
96,73
139,115
14,13
177,142
35,27
103,79
78,61
16,13
125,102
57,48
82,64
15,12
5,5
3,3
15,11
86,74
134,107
95,77
80,70
259,200
148,126
54,43
11,9
162,135
3,3
23,18
174,129
155,121
142,117
85,68
20,17
61,48
106,88
52,41
38,32
160,128
16,13
156,127
38,28
95,77
1,1
121,83
48,40
30,25
16,13
26,19
66,46
29,26
93,79
66,48
76,58
154,121
79,56
21,17
85,72
114,90
50,41
77,60
43,36
153,125
101,79
93,72
96,80
85,70
187,149
22,14
121,97
137,112
90,58
45,38
406,336
188,155
34,25
49,41
28,24
46,33
60,46
172,147
82,64
113,86
128,102
26,20
19,16
155,122
59,46
50,42
29,27
149,113
15,13
39,31
181,144
151,122
118,96
301,233
14,11
68,51
43,36
134,101
36,28
134,104
388,301
21,18
181,134
206,167
70,52
96,74
118,94
182,151
63,53
342,260
13,12
196,146
17,11
33,26
114,77
196,154
3,3
89,70
73,59
35,25
10,8
29,23
51,37
63,44
105,82
96,81
53,47
58,47
8,7
24,18
81,61
81,66
36,27
36,32
106,91
56,45
27,21
170,139
40,31
40,33
22,19
38,33
146,114
12,12
34,25
85,71
36,28
54,47
157,122
60,48
125,93
149,111
17,12
238,196
25,18
10,8
268,216
32,25
102,84
154,122
134,104
67,50
105,83
80,57
61,50
9,7
114,96
39,29
52,45
165,129
43,36
31,28
33,27
18,14
97,72
21,20
81,61
38,30
280,218
247,194
17,12
132,105
155,123
166,136
19,16
241,199
15,12
47,42
22,20
22,17
149,101
112,82
44,35
70,54
16,15
42,32
8,6
115,91
1,1
5,4
4,4
83,64
